标记	英文	音标	中文
	a	ei	art.一n.字母A
	abandon	E5bAndEn	vt.放弃, 遗弃n.放任, 狂热
	abdomen	" Ab5dEumEn;5AbdEmEn;"	n.腹, 腹部
	abide	E5baid	vi.坚持, 遵守vt.忍受, 容忍
	ability	E5biliti	n.能力, 才干
	able	5eibl	adj.能...的, 有才能的, 能干的, 能够的
	abnormal	Ab5nC:mEl	adj.反常的, 变态的
	aboard	E5bC:d	adv.在船(飞机、车)上, 上船(飞机、车)prep.在(船、飞机、车)上, 上(船、飞机、车)
	abolish	E5bCliF	vt.废止, 废除(法律、制度、习俗等)
	abound	E5baund	vi.多, 大量存在, 富于, 充满
	about	5Ebaut	adv.附近, 大约, 转向, 左右, 周围prep.在附近, 关于, 在...周围, 忙于
	above	E5bQv	adj.上面的, 上述的, 上文的adv.在上面prep.在...上方, 过于, 超出
	abroad	E5brC:d	adv.往国外, 到处, 海外, 广泛, 差得远, 心里没有谱
	abrupt	E5brQpt	adj.突然的, 陡峭的, 生硬的
	absence	5AbsEns	n.不在, 缺席, 缺乏, 没有
	absent	5AbsEnt	adj.不在的, 缺席的, 缺少的vt.缺席
	absolute	5AbsElu:t	adj.完全的, 绝对的
	absorb	Eb5sC:b	vt.吸收, 吸引
	abstract	5AbstrAkt	n.摘要, 概要, 抽象adj.抽象的, 深奥的, 理论的vt.摘要, 提炼, 抽象化
	absurd	Eb5sE:d	adj.荒谬的, 可笑的
	abundance	E5bQndEns	n.丰富, 充裕, 丰富充裕
	abundant	E5bQndEnt	adj.丰富的, 充裕的, 丰富, 盛产, 富于
	abuse	E5bju:z	n.滥用, 虐待, 辱骂, 陋习, 弊端v.滥用, 虐待, 辱骂
	academic	7AkE5demik	adj.学院的, 理论的
	academy	E5kAdEmi	n.(高等)专科院校, 研究院, 学会, 学术团体, 学院
	accelerate	Ak5selEreit	v.加速, 促进
	accent	5AksEnt	n.重音, 口音, 重音符
	accept	Ek5sept	vt.接受, 认可, 承担, 承兑vi.同意, 承认
	acceptance	Ek5septEns	n.接受, 承诺, 容忍, 赞同, 相信
	access	5Akses	n.通路, 访问, 入门vt.存取, 接近
	accessory	Ak5sesEri	n.附件, 零件, 附加物, 从犯, 同谋者adj.附属的, 补充的, 同谋的, 副的
	accident	5AksidEnt	n.意外事件, 事故
	accidental	7Aksi5dentl	adj.意外的, 非主要的, 附属的n.非本质属性, 次要方面
	acclaim	E5kleim	n.喝彩, 欢呼v.欢呼, 称赞
	accommodate	E5kCmEdeit	vt.供应, 供给, 使适应, 调节, 和解, 向...提供, 容纳, 调和vi.适应
	accommodation	E7kCmE5deiFEn	n.住处, 膳宿, (车, 船, 飞机等的)预定铺位, (眼睛等的)适应性调节, (社会集团间的)迁就融合
	accompany	E5kQmpEni	vt.陪伴, 伴奏
	accomplish	E5kCmpliF	vt.完成, 达到, 实现
	accord	E5kC:d	n.一致, 符合, 调和, 协定vt.一致, 给与vi.符合
	accordance	E5kC:dEns	n.一致, 和谐
	according to		v.依照
	accordingly	E5kC:diNli	adv.因此, 从而
	account	E5kaunt	n.计算, 帐目, 说明, 估计, 理由vi.说明, 总计有, 认为, 得分vt.认为
	accountant	E5kauntEnt	n.会计(员), 会计师
	accumulate	E5kju:mjuleit	v.积聚, 堆积
	accuracy	5AkjurEsi	n.精确性, 正确度
	accurate	5Akjurit	adj.正确的, 精确的
	accuse	E5kju:z	vt.控告, 谴责, 非难
	accustomed	E5kQstEmd	adj.通常的, 习惯的, 按照风俗习惯的
	ache	eik	n.疼痛vi.觉得疼痛, 渴望
	achieve	E5tFi:v	vt.完成, 达到
	acid	5AsId	n.[化]酸, <俚>迷幻药adj.酸的, 讽刺的, 刻薄的
	acknowledge	Ek5nClidV	vt.承认, 答谢, 报偿
	acquaint	E5kweint	vt.使熟知, 通知
	acquaintance	E5kweintEns	n.相识, 熟人
	acquire	E5kwaiE	vt.获得, 学到
	acquisition	7Akwi5ziFEn	n.获得, 获得物
	acre	5eikE	n.英亩, 地产, 大片田地
	acrobat	5AkrEbAt	n.(走钢丝的)杂技演员, 随机应变者, 翻云覆雨者
	across	E5krCs	adv.横过, 交叉地, 在对面prep.越过, 交叉, 在...的那边, 在...对面那边
	act	Akt	n.幕, 法案, 法令, 动作, 举动, 节目, (戏剧的)幕vi.行动, 产生...的效果, 担当, 表演, 假装, 表现, 见效vt.扮演, 装作
	action	5AkFEn	n.动作, 作用, 战斗, 行动, 举动, 行为, (戏剧或书中)的情节, (某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉
	activate	5Aktiveit	vt.刺激, 使活动vi.有活力
	active	5Aktiv	adj.积极的, 能起作用的, 现行的, [语法]主动的, 活动的, 活跃的, 活性的n.[语法] 主动语态, 积极分子
	activity	Ak5tiviti	n.活跃, 活动性, 行动, 行为, [核]放射性
	actor	5AktE	n.男演员, 行动者, 参与者
	actress	5Aktris	n.女演员
	actual	5AktjuEl	adj.实际的, 真实的, 现行的, 目前的
	acute	E5kju:t	adj.敏锐的, [医]急性的, 剧烈
	adapt	E5dApt	vt.使适应, 改编
	add	Ad	vt.增加, 添加, 计算...总和, 补充说, 又说vi.加, 加起来, 增添, 做加法
	addict	E5dikt	vt.使沉溺, 使上瘾n.入迷的人, 有瘾的人
	addition	E5diFEn	n.加, 加起来, 增加物, 增加, 加法
	additional	E5diFEnl	adj.另外的, 附加的, 额外的
	address	E5dres	n.地址, 致辞, 演讲, 说话的技巧vt.向...致辞, 演说, 写姓名地址, 从事, 忙于
	adequate	5Adikwit	adj.适当的, 足够的
	adhere	Ed5hiE	vi.粘附, 胶着, 坚持v.坚持
	adjacent	E5dVeisEnt	adj.邻近的, 接近的
	adjective	5AdViktiv	n.形容词
	adjoin	E5dVCin	v.邻接, 毗连
	adjust	E5dVQst	vt.调整, 调节, 校准, 使适合
	administer	Ed5ministE	v.管理, 给予, 执行
	administration	Edminis5treiFEn	n.管理, 经营, 行政部门
	admire	Ed5maiE	v.赞美, 钦佩, 羡慕
	admission	Ed5miFEn	n.允许进入, 承认某事之陈述, 供认
	admit	Ed5mit	v.容许, 承认, 接纳
	adolescent	7AdEu5lesnt	adj.青春期的, 青春的n.青少年
	adopt	E5dCpt	vt.采用, 收养
	adore	E5dC:	v.崇拜, 爱慕, (口语)喜爱
	adult	E5dQlt, 5AdQlt	n.成人, 成年人adj.成人的, 成熟的
	advance	Ed5vB:ns	n.前进, 提升, 预付款v.前进, 提前, 预付adj.前面的, 预先的预付(款项)
	advanced	Ed5vB:nst	adj.高级的, 年老的, 先进的
	advantage	Ed5vB:ntidV	n.优势, 有利条件, 利益
	advent	5AdvEnt	n.(尤指不寻常的人或事)出现, 到来
	adventure	Ed5ventFE	n.冒险, 冒险的经历v.冒险
	adverb	5AdvE:b	n.副词
	adverse	5AdvE:s	adj.不利的, 敌对的, 相反的
	advertise	5AdvEtaIz	v.做广告, 登广告
	advice	Ed5vais	n.忠告, 建议, [商]通知
	advisable	Ed5vaizEbl	adj.可取的, 明智的
	advise	Ed5vaiz	vt.劝告, 忠告, 警告, 建议
	advocate	5AdvEkit	n.提倡者, 鼓吹者vt.提倡, 鼓吹
	aerial	5ZEriEl	adj.航空的, 生活在空气中的, 空气的, 高耸的n.天线
	aeroplane	5ZErEplein	n.飞机
	aesthetic	i:s5Wetik	adj.美学的, 审美的, 有审美感的
	affair	E5fZE	n.事务, 事件, 私事, 恋爱事件, (尤指关系不长久的)风流韵事
	affect	E5fekt	vt.影响, 感动, 侵袭, 假装
	affection	E5fekFEn	n.友爱, 爱情, 影响, 疾病, 倾向
	affiliate	E5filieit	v.(使...)加入, 接受为会员
	affirm	E5fE:m	v.断言, 确认, 肯定
	affluent	5AfluEnt	adj.丰富的, 富裕的
	afford	E5fC:d	vt.提供, 给予, 供应得起
	afraid	E5freid	adj.害怕, 担心
	after	5B:ftE	adv.prep.conj.在...之后, 在...后面, 模仿, 与...一致, 以...命名, 后来的, 后面的
	afternoon	5B:ftE5nu:n	n.午后, 下午adv.下午的, 晚期
	afterward	5B:ftEwEd	adv.然后, 后来
	again	E5^ein	adv.又, 再次, 此外, 再一次
	against	E5^enst, E5^einst	prep.相反, 反对, 逆着, 靠着, 倚着
